time,coord_x,coord_y
22.93104,0.42065,0.664346
22.94486,0.422987,0.662671
22.95878,0.425158,0.661176
22.9728,0.427175,0.659781
22.98671,0.42916,0.658409
23.00072,0.431154,0.656998
23.01459,0.433104,0.655567
23.02848,0.434973,0.654185
23.0424,0.436621,0.652893
23.05627,0.437998,0.651762
23.07034,0.43919,0.650734
23.08416,0.440251,0.649778
23.09828,0.441325,0.648857
23.11207,0.442353,0.648048
23.12606,0.443332,0.647384
23.13978,0.444184,0.646882
23.15383,0.444957,0.646447
23.16761,0.445629,0.646042
23.18169,0.446253,0.645653
23.19555,0.446798,0.645319
23.20965,0.447282,0.645051
23.22335,0.447666,0.644909
23.23729,0.448012,0.644832
23.25116,0.448304,0.644806
23.26514,0.448588,0.644838
23.27907,0.448872,0.644935
23.29303,0.44918,0.645109
23.30723,0.449534,0.645394
23.32093,0.449922,0.645816
23.3347,0.450359,0.646468
23.34865,0.45087,0.647511
23.36258,0.451474,0.648988
23.37648,0.452146,0.650922
23.39041,0.452855,0.653307
23.40441,0.45357,0.656354
23.41827,0.454279,0.660088
23.43216,0.454986,0.664713
23.44626,0.455742,0.670718
23.46012,0.456542,0.677491
23.47394,0.457291,0.684426
23.48783,0.45795,0.691132
23.50182,0.458567,0.69749
23.51578,0.459138,0.703704
23.52971,0.459717,0.709652
23.54353,0.460291,0.715238
23.5576,0.460882,0.720467
23.57146,0.461448,0.72533
23.58553,0.462029,0.730101
23.59924,0.462626,0.734553
23.61343,0.463227,0.738779
23.62713,0.463787,0.74232
23.64108,0.464279,0.745439
23.65491,0.464706,0.74806
23.6689,0.465105,0.750525
23.68301,0.46551,0.752898
23.69682,0.465876,0.755081
23.71081,0.466189,0.757014
23.72459,0.466476,0.758592
23.73852,0.46675,0.759885
23.7526,0.467027,0.76106
23.76637,0.467307,0.76219
23.78038,0.467592,0.763326
23.79421,0.467877,0.76436
23.80822,0.468187,0.765253
23.822,0.468505,0.766002
23.83608,0.468839,0.766607
23.84983,0.469149,0.767115
23.86404,0.469426,0.767563
23.87784,0.469666,0.767944
23.89166,0.469886,0.768263
23.90552,0.470111,0.76853
23.91957,0.470314,0.768755
23.93364,0.470477,0.768931
23.94741,0.4706,0.769069
23.96114,0.470699,0.769173
23.97501,0.470782,0.769243
23.98904,0.47085,0.769284
24.00302,0.470907,0.769308
24.01696,0.470957,0.769324
24.03099,0.471002,0.769333
24.04477,0.471041,0.769324
24.05868,0.471078,0.769286
24.07281,0.471115,0.769201
24.08657,0.471158,0.769054
24.10053,0.471202,0.768855
24.1145,0.471246,0.768595
24.12836,0.47128,0.768262
24.14221,0.471323,0.767799
24.15623,0.471376,0.767178
24.17001,0.471434,0.766425
24.18409,0.471491,0.765585
24.19794,0.471546,0.764671
24.21195,0.471599,0.763603
24.22583,0.471664,0.762348
24.23981,0.471756,0.76087
24.25358,0.471857,0.759371
24.26762,0.47196,0.757939
24.28146,0.472031,0.7567
24.29549,0.472074,0.755525
24.3093,0.472099,0.754371
24.32331,0.47211,0.75313
24.33725,0.472094,0.751783
24.35103,0.472047,0.750305
24.36514,0.471973,0.748739
24.37898,0.471869,0.747191
24.39293,0.471744,0.74561
24.40669,0.471568,0.743901
24.42091,0.471315,0.741817
24.43458,0.470998,0.739516
24.44865,0.47054,0.736796
24.46249,0.469979,0.734029
24.47653,0.469248,0.730984
24.49025,0.468375,0.727706
24.50435,0.467251,0.723692
24.51816,0.465849,0.718915
24.53216,0.464106,0.71336
24.54595,0.462157,0.707957
24.55989,0.46006,0.703036
24.57385,0.457983,0.698655
24.58783,0.455942,0.694445
24.60169,0.45392,0.690145
24.61557,0.45183,0.685437
24.62972,0.449695,0.680344
24.64351,0.447828,0.675647
24.6575,0.446163,0.671265
24.67125,0.444785,0.667317
24.6853,0.443533,0.663278
24.69916,0.442401,0.65912
24.71325,0.441358,0.654849
24.727,0.440513,0.650985
24.74102,0.439788,0.647403
24.75481,0.439258,0.644056
24.76902,0.43887,0.640316
24.78267,0.438638,0.636344
24.79661,0.438449,0.632302
24.81055,0.438284,0.628788
24.82452,0.438197,0.625766
24.83839,0.438286,0.623097
24.8523,0.438608,0.620475
24.86624,0.439114,0.617753
24.88014,0.439802,0.614997
24.89395,0.440618,0.612467
24.90796,0.441632,0.61004
24.92188,0.442831,0.607712
24.93584,0.444222,0.605381
24.94962,0.445764,0.603093
24.96359,0.447456,0.600807
24.97754,0.44931,0.59864
24.99155,0.451348,0.596603
25.00544,0.453503,0.594742
25.01929,0.455871,0.592887
25.03327,0.458463,0.590936
25.04709,0.461252,0.588903
25.06115,0.464228,0.58685
25.07504,0.467173,0.584991
25.08892,0.47017,0.583344
25.10287,0.473193,0.581895
25.11675,0.4764,0.580535
25.13071,0.47977,0.579145
25.14472,0.483395,0.577677
25.15851,0.487056,0.576203
25.17254,0.490833,0.574778
25.18647,0.494536,0.573524
25.20026,0.498299,0.572389
25.21419,0.502181,0.571317
25.22829,0.506147,0.570186
25.24215,0.510015,0.569019
25.2561,0.5138,0.567719
25.27025,0.517622,0.566331
25.28384,0.521204,0.565054
25.29783,0.52482,0.563895
25.31177,0.528266,0.562868
25.3256,0.531605,0.561862
25.33947,0.534824,0.560858
25.35345,0.53799,0.559775
25.36737,0.540972,0.558751
25.38128,0.543826,0.557783
25.39531,0.546575,0.556905
25.40922,0.549106,0.55611
25.42316,0.551521,0.555363
25.43706,0.553748,0.554748
25.45113,0.555811,0.554206
25.46484,0.557686,0.553761
25.47878,0.559507,0.553347
25.49267,0.561235,0.552936
25.50658,0.56289,0.552503
25.52057,0.564472,0.552083
25.5345,0.565941,0.55172
25.54824,0.567296,0.55141
25.56223,0.568594,0.551111
25.57622,0.569797,0.550812
25.59008,0.570849,0.550536
25.60424,0.571812,0.55032
